kind,name,parent,detail1,detail2
column,created_at,board_automations,timestamp with time zone,not_null
column,created_by,board_automations,text,not_null
column,description,board_automations,text,nullable
column,execution_count,board_automations,integer,not_null
column,id,board_automations,uuid,not_null
column,is_active,board_automations,boolean,not_null
column,last_executed_at,board_automations,timestamp with time zone,nullable
column,name,board_automations,text,not_null
column,organization_id,board_automations,uuid,not_null
column,trigger,board_automations,jsonb,not_null
column,updated_at,board_automations,timestamp with time zone,not_null
column,board_id,board_checklist_templates,uuid,nullable
column,category,board_checklist_templates,text,nullable
column,created_at,board_checklist_templates,timestamp with time zone,not_null
column,created_by,board_checklist_templates,text,not_null
column,description,board_checklist_templates,text,nullable
column,id,board_checklist_templates,uuid,not_null
column,items,board_checklist_templates,jsonb,not_null
column,name,board_checklist_templates,text,not_null
column,organization_id,board_checklist_templates,uuid,not_null
column,usage_count,board_checklist_templates,integer,not_null
column,board_id,board_columns,uuid,not_null
column,color,board_columns,character varying(7),nullable
column,created_at,board_columns,timestamp with time zone,not_null
column,id,board_columns,uuid,not_null
column,name,board_columns,text,not_null
column,order_index,board_columns,integer,not_null
column,wip_limit,board_columns,integer,nullable
column,board_id,board_labels,uuid,not_null
column,color,board_labels,character varying(7),not_null
column,created_at,board_labels,timestamp with time zone,not_null
column,description,board_labels,text,nullable
column,id,board_labels,uuid,not_null
column,is_active,board_labels,boolean,not_null
column,name,board_labels,text,not_null
column,order_index,board_labels,integer,not_null
column,organization_id,board_labels,uuid,not_null
column,background_color,boards,character varying(7),nullable
column,background_image,boards,text,nullable
column,created_at,boards,timestamp with time zone,not_null
column,created_by,boards,text,not_null
column,description,boards,text,nullable
column,icon,boards,text,nullable
column,id,boards,uuid,not_null
column,is_archived,boards,boolean,not_null
column,is_starred,boards,boolean,not_null
column,name,boards,text,not_null
column,organization_id,boards,uuid,nullable
column,updated_at,boards,timestamp with time zone,not_null
column,break_end,business_hours,time without time zone,nullable
column,break_start,business_hours,time without time zone,nullable
column,close_time,business_hours,time without time zone,nullable
column,created_at,business_hours,timestamp with time zone,not_null
column,day_of_week,business_hours,integer,not_null
column,end_time,business_hours,time without time zone,nullable
column,id,business_hours,text,not_null
column,is_closed,business_hours,boolean,nullable
column,is_open,business_hours,boolean,nullable
column,open_time,business_hours,time without time zone,nullable
column,organization_id,business_hours,text,not_null
column,start_time,business_hours,time without time zone,nullable
column,updated_at,business_hours,timestamp with time zone,not_null
column,active_patients,business_metrics,integer,nullable
column,ai_insights,business_metrics,text,nullable
column,cac_estimated,business_metrics,"numeric(12,2)",nullable
column,churn_rate,business_metrics,"numeric(5,2)",nullable
column,created_at,business_metrics,timestamp without time zone,not_null
column,id,business_metrics,uuid,not_null
column,ltv_estimated,business_metrics,"numeric(12,2)",nullable
column,metadata,business_metrics,jsonb,nullable
column,metric_date,business_metrics,date,not_null
column,new_patients_count,business_metrics,integer,nullable
column,organization_id,business_metrics,uuid,not_null
column,payback_months,business_metrics,"numeric(5,2)",nullable
column,total_revenue,business_metrics,"numeric(12,2)",nullable
column,updated_at,business_metrics,timestamp without time zone,not_null
column,allow_patient_cancellation,cancellation_rules,boolean,nullable
column,allow_reschedule,cancellation_rules,boolean,nullable
column,cancellation_fee,cancellation_rules,"numeric(10,2)",nullable
column,charge_late_cancellation,cancellation_rules,boolean,nullable
column,created_at,cancellation_rules,timestamp with time zone,not_null
column,id,cancellation_rules,text,not_null
column,late_cancellation_fee,cancellation_rules,"numeric(10,2)",nullable
column,max_cancellations_month,cancellation_rules,integer,nullable
column,min_hours_before,cancellation_rules,integer,nullable
column,min_hours_notice,cancellation_rules,integer,nullable
column,organization_id,cancellation_rules,text,not_null
column,updated_at,cancellation_rules,timestamp with time zone,not_null
column,card_digits,card_patient_mappings,text,not_null
column,created_at,card_patient_mappings,timestamp with time zone,not_null
column,id,card_patient_mappings,uuid,not_null
column,organization_id,card_patient_mappings,uuid,not_null
column,patient_id,card_patient_mappings,uuid,nullable
column,patient_name,card_patient_mappings,text,nullable
column,updated_at,card_patient_mappings,timestamp with time zone,not_null
column,ativo,centros_custo,boolean,not_null
column,codigo,centros_custo,text,nullable
column,created_at,centros_custo,timestamp with time zone,not_null
column,deleted_at,centros_custo,timestamp without time zone,nullable
column,descricao,centros_custo,text,nullable
column,id,centros_custo,uuid,not_null
column,nome,centros_custo,text,not_null
column,organization_id,centros_custo,uuid,not_null
column,updated_at,centros_custo,timestamp with time zone,not_null
column,created_at,checklist_items,timestamp with time zone,not_null
column,custo_unitario,checklist_items,"numeric(10,2)",not_null
column,evento_id,checklist_items,uuid,not_null
column,id,checklist_items,uuid,not_null
column,organization_id,checklist_items,uuid,not_null
column,quantidade,checklist_items,integer,not_null
column,status,checklist_items,text,not_null
column,tipo,checklist_items,text,not_null
column,titulo,checklist_items,text,not_null
column,updated_at,checklist_items,timestamp with time zone,not_null
column,category,clinic_inventory,text,nullable
column,cost_per_unit,clinic_inventory,"numeric(12,2)",nullable
column,created_at,clinic_inventory,timestamp with time zone,not_null
column,created_by,clinic_inventory,text,nullable
column,current_quantity,clinic_inventory,integer,not_null
column,expiration_date,clinic_inventory,timestamp with time zone,nullable
column,id,clinic_inventory,uuid,not_null
column,is_active,clinic_inventory,boolean,not_null
column,item_name,clinic_inventory,text,not_null
column,last_restock_date,clinic_inventory,timestamp with time zone,nullable
column,location,clinic_inventory,text,nullable
column,minimum_quantity,clinic_inventory,integer,not_null
column,organization_id,clinic_inventory,uuid,not_null
column,supplier,clinic_inventory,text,nullable
column,unit,clinic_inventory,text,not_null
column,updated_at,clinic_inventory,timestamp with time zone,not_null
column,created_at,clinic_profiles,timestamp with time zone,not_null
column,crefito,clinic_profiles,text,not_null
column,logo_uri,clinic_profiles,text,nullable
column,name,clinic_profiles,text,not_null
column,organization_id,clinic_profiles,uuid,not_null
column,physio_name,clinic_profiles,text,not_null
column,updated_at,clinic_profiles,timestamp with time zone,not_null
column,action,clinical_access_logs,character varying(16),not_null
column,created_at,clinical_access_logs,timestamp with time zone,not_null
column,id,clinical_access_logs,bigint,not_null
column,metadata,clinical_access_logs,jsonb,nullable
column,organization_id,clinical_access_logs,uuid,not_null
column,patient_id,clinical_access_logs,uuid,nullable
column,request_ip,clinical_access_logs,inet,nullable
column,resource,clinical_access_logs,character varying(64),not_null
column,session_id,clinical_access_logs,uuid,nullable
column,source,clinical_access_logs,character varying(16),not_null
column,user_agent,clinical_access_logs,text,nullable
column,user_id,clinical_access_logs,uuid,not_null
column,created_at,clinical_alerts,timestamp with time zone,not_null
column,data,clinical_alerts,jsonb,nullable
column,id,clinical_alerts,uuid,not_null
column,message,clinical_alerts,text,not_null
column,patient_id,clinical_alerts,uuid,not_null
column,resolved_at,clinical_alerts,timestamp with time zone,nullable
column,resolved_by,clinical_alerts,uuid,nullable
column,severity,clinical_alerts,character varying(16),not_null
column,status,clinical_alerts,character varying(16),not_null
column,type,clinical_alerts,character varying(64),not_null
column,benchmark_category,clinical_benchmarks,text,not_null
column,benchmark_name,clinical_benchmarks,text,not_null
column,created_at,clinical_benchmarks,timestamp with time zone,not_null
column,data_source,clinical_benchmarks,text,not_null
